ACCOUNT_STATEMENT_GEN_CONSUMER_DEV,rate(1 minute),arn:aws:events:us-west-2:180477243137:rule/ACCOUNT_STATEMENT_GEN_CONSUMER_DEV,Builds an account statement,DISABLED
ACCOUNT_STATEMENT_GEN_CONSUMER_PROD,rate(1 minute),arn:aws:events:us-west-2:180477243137:rule/ACCOUNT_STATEMENT_GEN_CONSUMER_PROD,Consumes SQS messages for building account statement,DISABLED
ACCOUNT_STATEMENT_GEN_DEV,rate(1 hour),arn:aws:events:us-west-2:180477243137:rule/ACCOUNT_STATEMENT_GEN_DEV,Gets pending account statements,DISABLED
ACCOUNT_STATEMENT_GEN_HISTORICAL_BACKUP_DEV,cron(20 04 * * ? *),arn:aws:events:us-west-2:180477243137:rule/ACCOUNT_STATEMENT_GEN_HISTORICAL_BACKUP_DEV,Allows to create historical daily backup for LOAN_LIFETIME table that will be used to create Account Statements. ,DISABLED
ACCOUNT_STATEMENT_GEN_HISTORICAL_BACKUP_PROD,cron(20 04 * * ? *),arn:aws:events:us-west-2:180477243137:rule/ACCOUNT_STATEMENT_GEN_HISTORICAL_BACKUP_PROD,Allows to create historical daily backup for LOAN_LIFETIME table that will be used to create Account Statements. ,ENABLED
ACCOUNT_STATEMENT_GEN_LOAN_PERIODS_GENERATION_DEV,rate(8 hours),arn:aws:events:us-west-2:180477243137:rule/ACCOUNT_STATEMENT_GEN_LOAN_PERIODS_GENERATION_DEV,Looks for the loans that have cut off date today and don't have loan periods generated and generates them,DISABLED
ACCOUNT_STATEMENT_GEN_LOAN_PERIODS_GENERATION_PROD,rate(6 hours),arn:aws:events:us-west-2:180477243137:rule/ACCOUNT_STATEMENT_GEN_LOAN_PERIODS_GENERATION_PROD,Looks for the loans that have cut off date today and don't have loan periods generated and generates them,ENABLED
ACCOUNT_STATEMENT_GEN_PRODUCE_DEV,cron(0 18/1 ? * MON-FRI *),arn:aws:events:us-west-2:180477243137:rule/ACCOUNT_STATEMENT_GEN_PRODUCE_DEV,Gets pending account statements,DISABLED
ACCOUNT_STATEMENT_GEN_PRODUCE_PROD,cron(0/30 18/1 ? * * *),arn:aws:events:us-west-2:180477243137:rule/ACCOUNT_STATEMENT_GEN_PRODUCE_PROD,Gets pending account statements,DISABLED
AFFILIATIONS_BANCOMER,cron(30 17 ? * 2-6 *),arn:aws:events:us-west-2:180477243137:rule/AFFILIATIONS_BANCOMER,Run lambda function to generate the affiliations files with Bancomer for loans with status 'V',DISABLED
AFFILIATIONS_BANORTE,cron(0 7 ? * 2-6 *),arn:aws:events:us-west-2:180477243137:rule/AFFILIATIONS_BANORTE,Run lambda function to generate the affiliations files with Banorte for loans with status 'V',DISABLED
AFFILIATIONS_BANORTE_DEV,"cron(18 23 ? * 3,5 *)",arn:aws:events:us-west-2:180477243137:rule/AFFILIATIONS_BANORTE_DEV,Event to call banorte_affiliations_DEV lambda specifying which bank file type will must be created,DISABLED
Amazon_Inspector_Assessment_0-Y4vceC9j_IduVpul,rate(7 days),arn:aws:events:us-west-2:180477243137:rule/Amazon_Inspector_Assessment_0-Y4vceC9j_IduVpul,Scheduled Inspector Assessment for arn:aws:inspector:us-west-2:180477243137:target/0-P5iMiOJR/template/0-Y4vceC9jrunning every 7 day(s),ENABLED
Amazon_Inspector_Assessment_0-ftdj89Kj_IdacDQC,rate(7 days),arn:aws:events:us-west-2:180477243137:rule/Amazon_Inspector_Assessment_0-ftdj89Kj_IdacDQC,Scheduled Inspector Assessment for arn:aws:inspector:us-west-2:180477243137:target/0-ewfC7Ose/template/0-ftdj89Kjrunning every 7 day(s),ENABLED
Amazon_Inspector_Assessment_0-nHW8lvpt_Id5cOys,rate(7 days),arn:aws:events:us-west-2:180477243137:rule/Amazon_Inspector_Assessment_0-nHW8lvpt_Id5cOys,Scheduled Inspector Assessment for arn:aws:inspector:us-west-2:180477243137:target/0-ygZgNY4G/template/0-nHW8lvptrunning every 7 day(s),ENABLED
Amazon_Inspector_Assessment_0-pNQOzD1k_IdQtMW5,rate(7 days),arn:aws:events:us-west-2:180477243137:rule/Amazon_Inspector_Assessment_0-pNQOzD1k_IdQtMW5,Scheduled Inspector Assessment for arn:aws:inspector:us-west-2:180477243137:target/0-oGonQ4G4/template/0-pNQOzD1krunning every 7 day(s),ENABLED
Audit-of-instances,rate(7 days),arn:aws:events:us-west-2:180477243137:rule/Audit-of-instances,Recurring - Inspector trigger security assessments to run based on an event,ENABLED
BC,cron(0 2 1 * ? *),arn:aws:events:us-west-2:180477243137:rule/BC,Default,DISABLED
CALL_LAMBDA_SHORTEST_TIME_NO_PAYLOAD,rate(1 minute),arn:aws:events:us-west-2:180477243137:rule/CALL_LAMBDA_SHORTEST_TIME_NO_PAYLOAD,,ENABLED
CNBV_checker,"cron(10 7,19 ? * * *)",arn:aws:events:us-west-2:180477243137:rule/CNBV_checker,Schedule for sdn_checker_PROD lambda function,DISABLED
COLLECTION_COMMUNICATION_REMINDERS_MAILING,cron(0 16 ? * MON-FRI *),arn:aws:events:us-west-2:180477243137:rule/COLLECTION_COMMUNICATION_REMINDERS_MAILING,Sends collection reminders' mails  ,DISABLED
COLLECTION_COMMUNICATION_REMINDERS_WHATSAPP,cron(0 16 ? * MON-FRI *),arn:aws:events:us-west-2:180477243137:rule/COLLECTION_COMMUNICATION_REMINDERS_WHATSAPP,Sends collection reminders' whatsapps,DISABLED
CRON_RESOLVE_FX_RATES,cron(0 10 ? * * *),arn:aws:events:us-west-2:180477243137:rule/CRON_RESOLVE_FX_RATES,Daily execution at 13 hrs.,ENABLED
Collections_checksum_Prod,cron(10 * * * ? *),arn:aws:events:us-west-2:180477243137:rule/Collections_checksum_Prod,Collections_checksum_Prod,DISABLED
