schema_name,schema_name_2,fields,version,tribe,schema_confluent_id
k-auth-account-created-key,account_created_key,"[{""name"": ""id"", ""type"": ""int""}]",1,undefined,100015
k-auth-account-created-value,account_created_value,"[{""name"": ""user_id"", ""type"": ""int""}, {""name"": ""natural_person_id"", ""type"": ""int""}, {""name"": ""enterprise_id"", ""type"": ""int""}, {""name"": ""source"", ""type"": ""string""}, {""name"": ""domain"", ""type"": ""string""}, {""name"": ""stage"", ""type"": ""string""}, {""name"": ""screen"", ""type"": ""string""}, {""name"": ""action"", ""type"": ""string""}, {""name"": ""email"", ""type"": ""string""}, {""name"": ""phone"", ""type"": ""string""}, {""name"": ""first_name"", ""type"": ""string""}, {""name"": ""last_name"", ""type"": ""string""}, {""name"": ""last_name1"", ""type"": ""string""}, {""name"": ""last_name2"", ""type"": ""string""}, {""name"": ""enterprise_customer_type"", ""type"": ""string""}, {""name"": ""utm_source"", ""type"": ""string""}, {""name"": ""utm_medium"", ""type"": ""string""}, {""name"": ""utm_campaign"", ""type"": ""string""}, {""name"": ""utm_term"", ""type"": ""string""}, {""name"": ""utm_content"", ""type"": ""string""}]",1,undefined,100016
k-cards-authorization-received-key,authorization_received_key,"[{""name"": ""contrato"", ""type"": ""string""}, {""name"": ""tipo_operacion"", ""type"": ""string""}]",1,undefined,100001
k-cards-authorization-received-value,authorization_received_value,"[{""name"": ""clave_sia"", ""type"": ""string""}, {""name"": ""elemento_entrada_sia"", ""type"": ""string""}, {""name"": ""codigo_entidad"", ""type"": ""string""}, {""name"": ""tipo_mensaje"", ""type"": ""string""}, {""name"": ""pan"", ""type"": ""string""}, {""name"": ""cuenta"", ""type"": ""string""}, {""name"": ""tipo_operacion"", ""type"": ""string""}, {""name"": ""monto_transaccion"", ""type"": ""string""}, {""name"": ""monto_transaccion_moneda_titular"", ""type"": ""string""}, {""name"": ""fecha_hora_dispositivo_origen"", ""type"": ""string""}, {""name"": ""numero_transaccion_origen"", ""type"": ""string""}, {""name"": ""codigo_categoria_comercio"", ""type"": ""string""}, {""name"": ""entidad_adquiriente"", ""type"": ""string""}, {""name"": ""datos_punto_servicio_terminal"", ""type"": ""string""}, {""name"": ""tasas"", ""type"": ""string""}, {""name"": ""indentificador_adquiriente"", ""type"": ""string""}, {""name"": ""numero_autorizacion"", ""type"": ""string""}, {""name"": ""codigo_accion_sia"", ""type"": ""string""}, {""name"": ""identificador_terminal"", ""type"": ""string""}, {""name"": ""identificador_comercio"", ""type"": ""string""}, {""name"": ""nombre_localidad_comercio"", ""type"": ""string""}, {""name"": ""moneda_transaccion"", ""type"": ""string""}, {""name"": ""moneda_titular"", ""type"": ""string""}, {""name"": ""operaciones_cashback"", ""type"": ""string""}, {""name"": ""fecha_dispositivo_origen"", ""type"": ""string""}, {""name"": ""hora_dispositivo_origen"", ""type"": ""string""}, {""name"": ""contrato"", ""type"": ""string""}]",1,undefined,100002
k-finance-kanto-disbursement-order-key,kanto_disbursement_order_key,"[{""name"": ""order_id"", ""type"": ""string"", ""doc"": ""The STP unique identifier""}]",1,undefined,100056
k-finance-kanto-disbursement-order-value,kanto_disbursement_order_value,"[{""name"": ""order_id"", ""type"": ""string""}, {""name"": ""transaction_date_time"", ""type"": ""string""}, {""name"": ""description"", ""type"": ""string""}, {""name"": ""fail_reason"", ""type"": [""null"", ""string""]}, {""name"": ""tracking_code"", ""type"": ""string""}, {""name"": ""bank_account_id"", ""type"": ""string""}, {""name"": ""transaction_status"", ""type"": ""string""}, {""name"": ""product_id"", ""type"": ""int""}, {""name"": ""product"", ""type"": ""string""}, {""name"": ""customer_type"", ""type"": ""string""}, {""name"": ""customer_id"", ""type"": ""string""}, {""name"": ""entity_id"", ""type"": ""string""}, {""name"": ""amount"", ""type"": ""string""}, {""name"": ""reference"", ""type"": ""string""}, {""name"": ""concept"", ""type"": ""string""}, {""name"": ""transaction_order_id"", ""type"": ""string""}]",1,undefined,100057
k-mining-cfdi-invoice-data-key,invoice_data_key,"[{""name"": ""rfc"", ""type"": ""string""}, {""name"": ""uuid"", ""type"": ""string""}]",1,undefined,100005
k-mining-cfdi-invoice-data-value,invoice_data_value,"[{""name"": ""ccy_iso_code"", ""type"": ""string""}, {""name"": ""type"", ""type"": ""string""}, {""name"": ""ccy_fx"", ""type"": ""string""}, {""name"": ""payment_method"", ""type"": ""string""}, {""name"": ""payment_type"", ""type"": ""string""}, {""name"": ""certificate_number"", ""type"": ""string""}, {""name"": ""cfdi_version"", ""type"": ""string""}, {""name"": ""series"", ""type"": ""string""}, {""name"": ""sub_total"", ""type"": ""string""}, {""name"": ""total"", ""type"": ""string""}, {""name"": ""place_generated"", ""type"": ""string""}, {""name"": ""date"", ""type"": ""string""}, {""name"": ""discount"", ""type"": ""string""}, {""name"": ""payment_conditions"", ""type"": ""string""}, {""name"": ""receptor_rfc"", ""type"": ""string""}, {""name"": ""receptor_name"", ""type"": ""string""}, {""name"": ""receptor_fiscal_regimen"", ""type"": ""string""}, {""name"": ""receptor_cfdi_use"", ""type"": ""string""}, {""name"": ""receptor_fiscal_residence"", ""type"": ""string""}, {""name"": ""receptor_fiscal_address"", ""type"": ""string""}, {""name"": ""receptor_numr_reg_id_trib"", ""type"": ""string""}, {""name"": ""emisor_rfc"", ""type"": ""string""}, {""name"": ""emisor_name"", ""type"": ""string""}, {""name"": ""emisor_fiscal_regime"", ""type"": ""string""}, {""name"": ""emisor_fac_atr_adquirente"", ""type"": ""string""}, {""name"": ""export"", ""type"": ""string""}, {""name"": ""confirmation"", ""type"": ""string""}, {""name"": ""month"", ""type"": ""string""}, {""name"": ""year"", ""type"": ""string""}, {""name"": ""periodicity"", ""type"": ""string""}, {""name"": ""total_retained_taxes"", ""type"": ""string""}, {""name"": ""total_transfered_taxes"", ""type"": ""string""}]",1,undefined,100006
k-mining-cfdi-invoice-file-key,invoice_file_key,"[{""name"": ""rfc"", ""type"": ""string""}, {""name"": ""uuid"", ""type"": ""string""}]",1,undefined,100003
k-mining-cfdi-invoice-file-value,invoice_file_value,"[{""name"": ""file"", ""type"": ""string""}, {""name"": ""file_type"", ""type"": ""string""}, {""name"": ""encoding"", ""type"": ""string""}]",1,undefined,100004
